Clusters,MPI RANKS,Time in seconds,Clockcycles 
K=2,2,1.324391e+02 seconds.,67808832037.000000 cycles
,4,7.497441e+01 seconds, 38386898590.000000 cycles
,8,1.318035e+02 seconds, 67483398290.000000 cycles
,16, 1.158008e+02 seconds.,59290034854.000000 cycles
,32, 1.379250e+02 seconds.,70617579705.000000 cycles
,64,1.340464e+02 seconds.,68631779165.000000 cycles
,128,1.337826e+02 seconds, 68496695555.000000 cycles
,256,1.299019e+02 seconds,66509748498.000000 cycles
K=3,2,1.692315e+01 seconds,8664652365.000000 cycles
,4,1.688877e+01 seconds, 8647048695.000000 cycles.
,8,1.682384e+01 seconds, 8613804292.000000 cycles
,16,1.677571e+01 seconds,8589165800.000000 cycles
,32, 1.764187e+01 seconds,9032636310.000000 cycles
,64, 1.758246e+01 seconds,9002221176.000000 cycles
,128,1.719860e+01 seconds,8805681849.000000 cycles
,256,1.661813e+01 seconds,8508483043.000000 cycles
K=4,2,1.325085e+02 seconds,67844350213.000000 cycles
,4, 1.320744e+02 seconds,67622083731.000000 cycles
,8, 1.317417e+02 seconds,67451724814.000000 cycles
,16, 1.314518e+02 seconds,67303324034.000000 cycles
,32,1.355009e+02 seconds,69376463890.000000 cycles.
,64,1.367251e+02 seconds, 70003244026.000000 cycles.
,128,1.343060e+02 seconds, 68764653618.000000 cycles
,256,1.299189e+02 seconds,66518487265.000000 cycles
K=6,2, 1.324486e+02 seconds,67813703990.000000 cycles
,4,1.320351e+02 seconds,67601992667.000000 cycles
,8, 1.317630e+02 seconds.,67462643414.000000 cycles
,16, 1.314642e+02 seconds,67309660647.000000 cycles
,32,1.298120e+02 seconds,66463744474.000000 cycles
,64,1.354925e+02 seconds,69372182448.000000 cycles
,128,1.338126e+02 seconds., 68512039521.000000 cycles
,256,1.33E+02,68110642113
K=8,2,1.323653e+02 seconds.,67771058227.000000 cycles
,4,1.320443e+02 seconds,67606696272.000000 cycles
,8,1.322112e+02 seconds, 67692149370.000000 cycles
,16,1.315528e+02 seconds, 67355024977.000000 cycles.
,32, 1.354968e+02 seconds,69374381831.000000 cycles
,64,1.347422e+02 seconds,68987982619.000000 cycles
,128, 1.326959e+02 seconds, 67940299624.000000 cycles.
,256,1.329501e+02 seconds,68070459595.000000 cycles
K=10,2,1.324145e+02 seconds, 67796248386.000000 cycles
,4,1.351092e+02 seconds,69175914763.000000 cycles
,8,1.350388e+02 seconds.,69139879836.000000 cycles
,16,1.344430e+02 seconds,68834828286.000000 cycles.
,32, 1.411929e+02 seconds,72290780274.000000 cycles
,64, 1.374962e+02 seconds,70398057163.000000 cycles
,128,1.366881e+02 seconds, 69984316393.000000 cycles
,256,1.298093e+02 seconds, 66462344036.000000 cycles
