Clusters,MPI RANKS,Time in seconds,Clockcycles
K=2,2,3.409770e+01,17458020400
,4,1.920469e+01,9832803349
,8,3.375675e+01,17283453767
,16,2.977177e+01,15243144156
,32,4.678448e+01,23953652277
,64,3.455565e+01,17692492229
K=3,2,3.421392e+01,17517529348
,4,3.381188e+01,17311680548
,8,3.376224e+01,17286268834
,16,3.372393e+01,17266653652
,32,5.010389e+01,25653192117
,64,5.698089e+01,29174217925
K=4,2,3.396596e+01,17390569502
,4,1.914346e+01,9801451280
,8,3.376621e+01,17288299390
,16,3.373286e+01,17271225154
,32,5.758724e+01,29484668222
,64,3.441008e+01,17617959060
K=6,2,3.399260e+01,17404212529
,4,3.381211e+01,17311802056
,8,3.386413e+01,17338433734
,16,3.385684e+01,17334701306
,32,4.932235e+01,25253044490
,64,3.557656e+01,18215198144
K=8,2,3.397286e+01,17394103406
,4,3.381930e+01,17315482450
,8,3.379506e+01,17303072623
,16,3.372524e+01,17267324710
,32,3.505720e+01,17949288405
,64,5.556173e+01,28447604654
K=10,2,3.400028e+01,17408142929
,4,3.379131e+01,17301149377
,8,3.384791e+01,17330129359
,16,3.373997e+01,17274866050
,32,5.156111e+01,26399287304
,64,3.530528e+01,18076301818
