Clusters,MPI RANKS,Time in seconds,Clockcycles
K=2,2,3.38E+01,17302102012
,4,3.38E+01,17318086370
,8,3.38E+01,17297467716
,16,3.38E+01,17296922474
,32,3.59E+01,18383929498
,64,5.58E+01,28591161512
,,,
,,,
K=3,2,8.67E+00,4440671259
,4,2.59E+02,1.32697E+11
,8,2.59E+02,1.32657E+11
,16,2.59E+02,1.32464E+11
,32,2.72E+02,1.39264E+11
,64,2.65E+02,1.35679E+11
,,,
,,,
K=4,2,3.40E+01,17414785947
,4,,
,8,,
,16,,
,32,,
,64,,
,,,
,,,
K=6,2,,
,4,,
,8,,
,16,,
,32,,
,64,,
,,,
,,,
K=8,2,,
,4,,
,8,,
,16,,
,32,,
,64,,
,,,
,,,
K=10,2,3.40E+01,17402101824
,4,3.38E+01,17328079041
,8,3.38E+01,17303375754
,16,3.44E+01,17613221607
,32,5.29E+01,27072683502
,64,5.21E+01,26663803999
,,,
,,,
