,Gene,SRR8265450,ERR2061598,ERR3320659,SRR8675957,DRR088990,SRR3152368,SRR7029425,SRR5495192,SRR8731894,SRR10912448,DRR002708,SRR11002534,SRR5495452,SRR3124574,SRR10307296,SRR7525624,ERR348391,SRR5495417,SRR8848680,SRR8989353,SRR3681900,SRR1636846,SRR5495237,SRR11107239,SRR3212737,SRR3356535,SRR3212727,SRR8357717,SRR8265445,SRR8357839,SRR10677632,SRR1564293,SRR8357716,SRR8357904,DRR006547
0,ChrSy.fgenesh.gene.14,0.0,0.0,3.429,0.0,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.082,0.096,0.0,0.0,0.165,0.098,0.0,0.051,0.0,0.0,0.0,0.0,0.914,0.0,0.0,0.0,2.67,0.0
1,ChrSy.fgenesh.gene.19,0.0,0.0,0.03,0.0,0.0,0.0,0.095,0.085,0.859,0.121,0.0,0.0,0.0,0.218,0.0,0.615,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.0
2,ChrSy.fgenesh.gene.21,0.093,0.0,0.03,0.153,0.794,0.0,0.528,0.242,3.391,1.366,2.239,0.0,0.35,2.357,0.0,0.0,1.21,1.338,0.0,1.554,0.0,0.313,1.632,0.0,0.1,0.0,0.05,4.087,0.0,0.0,0.0,5.368,3.255,0.0,3.144
3,ChrSy.fgenesh.gene.25,0.551,2.631,1.604,4.115,2.87,0.494,2.193,0.629,4.573,3.429,1.673,3.026,0.811,1.508,0.073,0.34,1.951,1.121,0.271,1.476,2.031,3.385,1.263,1.91,1.079,1.147,0.472,2.293,1.878,1.338,4.08,4.242,2.881,0.429,2.905
4,ChrSy.fgenesh.gene.26,0.34,0.0,0.0,0.079,0.0,1.555,0.095,0.448,1.06,0.178,0.0,0.0,1.02,1.783,0.208,1.376,0.213,1.197,0.0,0.763,1.539,0.683,0.641,0.05,0.404,1.147,0.277,0.732,0.0,0.0,0.569,1.256,0.687,0.23,0.624
5,ChrSy.fgenesh.gene.28,2.774,5.587,4.073,2.757,2.811,6.83,5.415,7.441,1.827,6.221,4.836,5.191,7.165,1.133,1.881,1.376,5.904,6.639,1.291,1.163,2.895,3.005,7.088,2.371,5.28,0.0,4.277,0.0,2.44,1.142,2.754,0.171,0.121,1.701,2.413
6,ChrSy.fgenesh.gene.29,0.735,1.442,2.481,3.511,2.055,2.315,2.769,1.333,2.695,2.368,2.694,2.771,1.403,2.755,1.615,2.719,1.521,1.912,0.0,2.517,0.891,3.15,2.435,3.452,1.263,0.685,1.269,2.273,0.388,1.383,2.633,2.437,2.274,1.145,2.553
7,ChrSy.fgenesh.gene.32,0.0,0.113,1.196,0.588,0.198,0.0,0.385,0.0,0.315,0.0,0.0,0.249,0.0,0.0,0.208,0.0,0.0,0.0,0.186,0.948,0.26,0.0,0.098,0.099,0.0,0.352,0.0,0.0,0.0,0.112,0.085,0.171,0.121,0.0,0.0
8,ChrSy.fgenesh.gene.33,0.0,0.0,0.059,0.0,1.214,0.0,0.0,0.0,2.246,1.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.542,0.0,0.0,0.0,0.0,0.0,0.0,0.221,0.0,2.458,0.0,0.402,0.0,1.366,1.854,0.759,0.0
9,ChrSy.fgenesh.gene.37,4.951,8.38,6.336,5.361,6.724,6.412,6.255,5.112,7.447,6.056,6.809,5.417,4.808,6.094,5.175,4.981,4.986,5.229,7.879,5.606,6.259,6.647,4.955,3.648,6.931,5.067,6.65,5.762,5.817,5.41,4.588,6.68,7.039,4.195,6.712
10,ChrSy.fgenesh.gene.41,0.0,0.219,0.222,0.788,0.666,0.0,0.595,0.0,0.77,0.609,0.0,1.089,0.185,0.0,0.0,1.045,0.0,0.0,0.096,0.696,0.0,0.447,0.098,1.185,0.0,0.582,0.0,0.412,0.0,0.0,1.849,1.435,0.432,0.0,0.345
11,ChrSy.fgenesh.gene.42,0.0,0.058,0.059,0.291,1.743,0.0,0.888,0.571,4.305,0.386,0.524,0.46,0.0,1.237,0.0,1.376,0.0,0.0,0.096,0.0,0.0,0.886,0.506,0.05,0.0,0.078,0.0,2.59,0.0,0.112,1.462,2.47,3.508,0.23,3.833
12,ChrSy.fgenesh.gene.44,0.0,0.167,0.0,0.224,0.0,0.385,0.0,0.165,1.285,0.121,0.285,0.088,0.096,0.815,0.073,0.846,0.213,0.0,0.0,0.208,0.0,0.0,0.098,0.146,0.0,0.413,0.0,0.179,0.0,0.0,0.0,0.171,0.335,0.429,0.0
13,ChrSy.fgenesh.gene.47,0.0,0.576,0.459,0.0,1.168,2.509,0.719,0.0,1.508,0.386,0.728,0.249,0.0,1.48,0.0,0.846,0.262,0.0,1.208,0.0,0.0,0.57,0.189,0.0,2.243,7.675,0.99,1.511,0.0,0.312,0.736,0.864,2.556,0.0,0.0
14,ChrSy.fgenesh.gene.49,3.436,4.431,4.878,6.261,4.845,4.267,5.515,4.825,5.149,5.369,4.733,4.383,4.624,4.879,3.797,4.867,4.463,4.821,4.443,5.21,3.815,5.151,5.053,6.221,4.139,4.317,3.994,5.114,3.75,3.785,5.864,5.375,5.122,4.051,5.459
