ID,Gene Description,Gene Accession Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,Cluster_assignments
0,AFFX-BioB-5_at (endogenous control),AFFX-BioB-5_at,-0.373591231,-0.266774733,-0.244705414,-0.33612459,-0.361605245,-0.352556219,-0.266661071,-0.189436821,-0.290022714,-0.302774536,-0.255802688,-0.243455261,-0.274559548,-0.324939937,-0.365384506,-0.34358588,-0.283315852,-0.232377067,-0.263332536,-0.212607292,-0.241583894,-0.367458526,-0.276012642,-0.313515477,-0.302887881,-0.260311359,-0.267448432,-0.280292865,-0.254504279,-0.261879282,-0.238940437,-0.357127778,-0.271810039,-0.318510319,7
1,AFFX-BioB-M_at (endogenous control),AFFX-BioB-M_at,-0.316189973,-0.336633844,-0.318308779,-0.325864717,-0.380886157,-0.349678265,-0.250078529,-0.237825855,-0.259196635,-0.302774536,-0.25029327,-0.238799583,-0.29837574,-0.322768617,-0.357985841,-0.359859948,-0.292511748,-0.277560311,-0.272699856,-0.27367516,-0.238464916,-0.3957281,-0.305349086,-0.323450106,-0.301690224,-0.225011888,-0.346682561,-0.261173418,-0.414580927,-0.319504625,-0.303497533,-0.378830507,-0.450464376,-0.359115297,1
2,AFFX-BioB-3_at (endogenous control),AFFX-BioB-3_at,-0.218769527,-0.115341007,-0.246808368,-0.303292998,-0.319761563,-0.4158712,-0.243275436,-0.279472154,-0.154730477,-0.092114011,-0.21384635,-0.215097952,-0.239051771,-0.289764556,-0.281944008,-0.323138974,-0.315501489,-0.225394202,-0.20061222,-0.203447112,-0.2302776,-0.264981321,-0.221358446,-0.176914329,-0.226237849,-0.237736116,-0.237689134,-0.199991187,-0.243967588,-0.237727484,-0.189812081,-0.310909005,-0.29992128,-0.282792977,1
3,AFFX-BioC-5_at (endogenous control),AFFX-BioC-5_at,-0.102754307,-0.101022059,-0.137875387,-0.161706758,-0.199153305,-0.237438071,-0.179921624,-0.123596004,-0.153017917,-0.163882126,-0.157056965,-0.165578474,-0.185790106,-0.176421665,-0.22809817,-0.282245162,-0.152483324,-0.155976309,-0.114677243,-0.142379244,-0.218581433,-0.166823079,-0.162685559,-0.134692156,-0.139607343,-0.131016785,-0.082568797,-0.20266791,-0.074975279,-0.175864983,-0.176819458,-0.233743749,-0.094635241,-0.248955496,1
4,AFFX-BioC-3_at (endogenous control),AFFX-BioC-3_at,-0.325891594,-0.327087879,-0.342703038,-0.355002755,-0.378014532,-0.46726323,-0.339369136,-0.30327004,-0.241214755,-0.175702756,-0.281230771,-0.265887162,-0.323057975,-0.357509733,-0.40772131,-0.356521677,-0.341417198,-0.289883014,-0.317907356,-0.260316564,-0.283300222,-0.4671873,-0.310171515,-0.43066131,-0.379937132,-0.259490441,-0.371977964,-0.291382145,-0.377702509,-0.34408014,-0.292941027,-0.361548705,-0.43751841,-0.362875017,1
5,AFFX-BioDn-5_at (endogenous control),AFFX-BioDn-5_at,-0.407951139,-0.442941187,-0.359106073,-0.346384462,-0.442010751,-0.580325697,-0.361053997,-0.37585359,-0.363662792,-0.286310086,-0.310049265,-0.347573139,-0.347307188,-0.392685113,-0.414297901,-0.420783381,-0.302543635,-0.337120041,-0.380627672,-0.286270408,-0.328915272,-0.516266421,-0.39175094,-0.451772396,-0.420657462,-0.335425349,-0.344450614,-0.300941868,-0.395128575,-0.322894352,-0.308775786,-0.531955312,-0.511495361,-0.437693448,7
6,AFFX-BioDn-3_at (endogenous control),AFFX-BioDn-3_at,-0.500520774,-0.069780717,-0.230825923,-0.353361175,-0.399346605,0.044190254,-0.311306374,-0.390132321,-0.224089155,-0.30150804,-0.276568955,-0.31413691,-0.280621851,-0.282816333,-0.24412861,-0.322304406,-0.279971889,-0.070128146,-0.154590171,-0.071387847,-0.073938838,-0.350575308,-0.317405159,-0.403755023,-0.556791113,-0.209414448,-0.289395913,-0.121983843,-0.139816453,-0.361876202,-0.250308982,-0.341453586,-0.637995948,-0.400096247,1
7,AFFX-CreX-5_at (endogenous control),AFFX-CreX-5_at,-0.35337952,-0.425150979,-0.313261692,-0.306986552,-0.346426654,-0.377224393,-0.281542838,-0.301683514,-0.292591554,-0.279977605,-0.258345496,-0.276468247,-0.303572,-0.317557449,-0.352642361,-0.336074771,-0.300871654,-0.254968689,-0.300801815,-0.247721317,-0.273163544,-0.422819775,-0.322227588,-0.392992508,-0.375146505,-0.20859353,-0.287163966,-0.259261473,-0.25126222,-0.327978941,-0.277106267,-0.429470206,-0.417174748,-0.305351298,7
8,AFFX-CreX-3_at (endogenous control),AFFX-CreX-3_at,-0.179963042,-0.144846719,-0.253958409,-0.215058095,-0.304172741,-0.236204662,-0.245401402,-0.247345009,-0.290878994,-0.218763625,-0.23206981,-0.16261577,-0.2516094,-0.241126994,-0.280710897,-0.293929108,-0.249040237,-0.182675499,-0.149295599,-0.217569057,-0.200257438,-0.195485286,-0.190816395,-0.19140233,-0.271748805,-0.158107077,-0.241037055,-0.216816301,-0.196957737,-0.241540926,-0.217827424,-0.22369619,-0.167132653,-0.189927889,1
9,AFFX-BioB-5_st (endogenous control),AFFX-BioB-5_st,-0.293552857,-0.158731759,-0.04366308,-0.291391546,-0.243048147,-0.241549434,-0.270062618,-0.40917063,-0.220235896,-0.182879568,-0.249021865,-0.084738982,-0.184491041,-0.119967351,0.058805611,-0.401171043,-0.164605187,-0.175692634,-0.160699292,-0.151921098,-0.123842483,-0.290895097,-0.107629494,-0.318896734,-0.308476946,-0.276319259,-0.114932032,-0.146074346,-0.153189945,-0.193237329,-0.316490156,-0.351501145,-0.195983664,-0.266250209,4
10,AFFX-BioB-M_st (endogenous control),AFFX-BioB-M_st,-0.215939887,-0.139205921,-0.229564151,-0.293853915,-0.309505759,-0.275673742,-0.278141291,-0.151360204,-0.270328274,-0.258869336,-0.219355768,-0.185894157,-0.275858613,-0.340139175,-0.323047702,-0.332319217,-0.261998092,-0.316582203,-0.197761297,-0.292377195,-0.31799885,-0.500953736,-0.211713588,-0.327175592,-0.265361303,-0.205309858,-0.278980159,-0.201520743,-0.265851485,-0.288573375,-0.262895586,-0.506635462,-0.313976901,-0.267002153,1
